author_id,team_id,similarity_degree
1,1,-1
2,1,2.0
3,1,3.0
4,2,-1
5,1,2.0
6,1,3.0
7,3,-1
8,3,2.0
9,2,2.0
10,1,3.0
11,1,3.0
12,3,3.0
13,4,-1
14,1,2.0
15,5,-1
16,4,2.0
17,1,3.0
18,6,-1
19,6,2.0
20,2,2.0
21,1,3.0
22,1,3.0
23,4,2.0
24,6,2.0
25,1,3.0
26,1,3.0
27,3,3.0
28,6,2.0
29,5,2.0
30,4,2.0
31,4,2.0
32,3,3.0
33,7,-1
34,6,2.0
35,6,2.0
36,7,2.0
37,6,2.0
38,6,2.0
39,4,1.0
40,2,2.0
41,2,2.0
42,2,1.0
43,6,2.0
44,1,2.0
45,2,1.0
46,4,2.0
47,6,2.0
48,4,1.0
49,7,1.0
50,2,1.0
51,3,2.0
52,1,3.0
53,1,3.0
54,6,2.0
55,1,3.0
56,3,2.0
57,5,2.0
58,2,1.0
59,6,2.0
60,4,2.0
61,1,2.0
